"file","object","mode","output","status","message"
"cancergenes_cgc81.rda","known_cancergenes","csv","cancergenes_cgc81.csv","ok",""
"covariates_hg19_chrx.rda","covs","csv","covariates_hg19_chrx.csv","ok",""
"covariates_hg19_hg38_epigenome_pcawg.rda","covs","csv","covariates_hg19_hg38_epigenome_pcawg.csv","ok",""
"covariates_hg19.rda","covs","csv","covariates_hg19.csv","ok",""
"dataset_normaloesophagus.rda","mutations","csv","dataset_normaloesophagus.csv","ok",""
"dataset_normalskin_genes.rda","target_genes","csv","dataset_normalskin_genes.csv","ok",""
"dataset_normalskin.rda","m","csv","dataset_normalskin.csv","ok",""
"dataset_simbreast.rda","mutations","csv","dataset_simbreast.csv","ok",""
"dataset_tcgablca.rda","mutations","csv","dataset_tcgablca.csv","ok",""
"knownhotcodons_hg19.rda","known_hotcodons","csv","knownhotcodons_hg19.csv","ok",""
"knownhotspots_hg19.rda","known_hotspots","csv","knownhotspots_hg19.csv","ok",""
"refcds_GRCh38_hg38.rda","RefCDS",NA,NA,"error","No method for S4 class:DNAString"
"refcds_GRCh38_hg38.rda","gr_genes","json","refcds_GRCh38_hg38_gr_genes.json","ok",""
"refcds_hg19.rda","RefCDS",NA,NA,"error","No method for S4 class:DNAString"
"refcds_hg19.rda","gr_genes","json","refcds_hg19_gr_genes.json","ok",""
"submod_12r_3w.rda","substmodel","csv","submod_12r_3w.csv","ok",""
"submod_192r_3w.rda","substmodel","csv","submod_192r_3w.csv","ok",""
"submod_2r_3w.rda","substmodel","csv","submod_2r_3w.csv","ok",""
"refcds_example_chr3_segment.rda","RefCDS",NA,NA,"error","No method for S4 class:DNAString"
"refcds_example_chr3_segment.rda","gr_genes","json","refcds_example_chr3_segment_gr_genes.json","ok",""
